Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly ($),Married Filing Separately (Rates/Brackets),,Married Filing Separately ($),Single Filer (Rates/Brackets),,Single Filer ($),Head of Household (Rates/Brackets),,Head of Household ($),Notes:
1986,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,Last law to change rates was the Tax Reform Act of 1986.
1986,11.00%,>,"$3,670 ",11.00%,>,"$1,835 ",11.00%,>,"$2,480 ",11.00%,>,"$2,480 ",
1986,12.00%,>,"$5,940 ",12.00%,>,"$2,970 ",12.00%,>,"$3,670 ",12.00%,>,"$4,750 ",
1986,14.00%,>,"$8,200 ",14.00%,>,"$4,100 ",14.00%,>,"$4,750 ",14.00%,>,"$7,010 ",
1986,16.00%,>,"$12,840 ",16.00%,>,"$6,420 ",15.00%,>,"$7,010 ",17.00%,>,"$9,390 ",
1986,18.00%,>,"$17,270 ",18.00%,>,"$8,635 ",16.00%,>,"$9,170 ",18.00%,>,"$12,730 ",
1986,22.00%,>,"$21,800 ",22.00%,>,"$10,900 ",18.00%,>,"$11,650 ",20.00%,>,"$16,190 ",
1986,25.00%,>,"$26,550 ",25.00%,>,"$13,275 ",20.00%,>,"$13,920 ",24.00%,>,"$19,640 ",
1986,28.00%,>,"$32,270 ",28.00%,>,"$16,135 ",23.00%,>,"$16,190 ",28.00%,>,"$25,360 ",
1986,33.00%,>,"$37,980 ",33.00%,>,"$18,990 ",26.00%,>,"$19,640 ",32.00%,>,"$31,080 ",
1986,38.00%,>,"$49,420 ",38.00%,>,"$24,710 ",30.00%,>,"$25,360 ",35.00%,>,"$36,800 ",
1986,42.00%,>,"$64,750 ",42.00%,>,"$32,375 ",34.00%,>,"$31,080 ",42.00%,>,"$48,240 ",
1986,45.00%,>,"$92,370 ",45.00%,>,"$46,185 ",38.00%,>,"$36,800 ",45.00%,>,"$65,390 ",
1986,49.00%,>,"$118,050 ",49.00%,>,"$59,025 ",42.00%,>,"$44,780 ",48.00%,>,"$88,270 ",
1986,50.00%,>,"$175,250 ",50.00%,>,"$87,625 ",48.00%,>,"$59,670 ",50.00%,>,"$116,870 ",
1986,,,,,,,50.00%,>,"$88,270 ",,,,
,,,,,,,,,,,,,
1985,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,Last law to change rates was the Tax Reform Act of 1984.
1985,11.00%,>,"$3,540 ",11.00%,>,"$1,770 ",11.00%,>,"$2,390 ",11.00%,>,"$2,390 ",
1985,12.00%,>,"$5,720 ",12.00%,>,"$2,860 ",12.00%,>,"$3,540 ",12.00%,>,"$4,580 ",
1985,14.00%,>,"$7,910 ",14.00%,>,"$3,955 ",14.00%,>,"$4,580 ",14.00%,>,"$6,760 ",
1985,16.00%,>,"$12,390 ",16.00%,>,"$6,195 ",15.00%,>,"$6,760 ",17.00%,>,"$9,050 ",
1985,18.00%,>,"$16,650 ",18.00%,>,"$8,325 ",16.00%,>,"$8,850 ",18.00%,>,"$12,280 ",
1985,22.00%,>,"$21,020 ",22.00%,>,"$10,510 ",18.00%,>,"$11,240 ",20.00%,>,"$15,610 ",
1985,25.00%,>,"$25,600 ",25.00%,>,"$12,800 ",20.00%,>,"$13,430 ",24.00%,>,"$18,940 ",
1985,28.00%,>,"$31,120 ",28.00%,>,"$15,560 ",23.00%,>,"$15,610 ",28.00%,>,"$24,460 ",
1985,33.00%,>,"$36,630 ",33.00%,>,"$18,315 ",26.00%,>,"$18,940 ",32.00%,>,"$29,970 ",
1985,38.00%,>,"$47,670 ",38.00%,>,"$23,835 ",30.00%,>,"$24,460 ",35.00%,>,"$35,490 ",
1985,42.00%,>,"$62,450 ",42.00%,>,"$31,225 ",34.00%,>,"$29,970 ",42.00%,>,"$46,520 ",
1985,45.00%,>,"$89,090 ",45.00%,>,"$44,545 ",38.00%,>,"$35,490 ",45.00%,>,"$63,070 ",
1985,49.00%,>,"$113,860 ",49.00%,>,"$56,930 ",42.00%,>,"$43,190 ",48.00%,>,"$85,130 ",
1985,50.00%,>,"$169,020 ",50.00%,>,"$84,510 ",48.00%,>,"$57,550 ",50.00%,>,"$112,720 ",
1985,,,,,,,50.00%,>,"$85,130 ",,,,
,,,,,,,,,,,,,
1984,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,"Pursuant to the Economic Recovery Tax Act of 1981, for tax years beginning after December 31, 1984, each tax bracket is adjusted for inflation except in the first year after a new law changes it. Last law to change rates was the Tax Reform Act of 1984."
1984,11.00%,>,"$3,400 ",11.00%,>,"$1,700 ",11.00%,>,"$2,300 ",11.00%,>,"$2,300 ",
1984,12.00%,>,"$5,500 ",12.00%,>,"$2,750 ",12.00%,>,"$3,400 ",12.00%,>,"$4,400 ",
1984,14.00%,>,"$7,600 ",14.00%,>,"$3,800 ",14.00%,>,"$4,400 ",14.00%,>,"$6,500 ",
1984,16.00%,>,"$11,900 ",16.00%,>,"$5,950 ",15.00%,>,"$6,500 ",17.00%,>,"$8,700 ",
1984,18.00%,>,"$16,000 ",18.00%,>,"$8,000 ",16.00%,>,"$8,500 ",18.00%,>,"$11,800 ",
1984,22.00%,>,"$20,200 ",22.00%,>,"$10,100 ",18.00%,>,"$10,800 ",20.00%,>,"$15,000 ",
1984,25.00%,>,"$24,600 ",25.00%,>,"$12,300 ",20.00%,>,"$12,900 ",24.00%,>,"$18,200 ",
1984,28.00%,>,"$29,900 ",28.00%,>,"$14,950 ",23.00%,>,"$15,000 ",28.00%,>,"$23,500 ",
1984,33.00%,>,"$35,200 ",33.00%,>,"$17,600 ",26.00%,>,"$18,200 ",32.00%,>,"$28,800 ",
1984,38.00%,>,"$45,800 ",38.00%,>,"$22,900 ",30.00%,>,"$23,500 ",35.00%,>,"$34,100 ",
1984,42.00%,>,"$60,000 ",42.00%,>,"$30,000 ",34.00%,>,"$28,800 ",42.00%,>,"$44,700 ",
1984,45.00%,>,"$85,600 ",45.00%,>,"$42,800 ",38.00%,>,"$34,100 ",45.00%,>,"$60,600 ",
1984,49.00%,>,"$109,400 ",49.00%,>,"$54,700 ",42.00%,>,"$41,500 ",48.00%,>,"$81,800 ",
1984,50.00%,>,"$162,400 ",50.00%,>,"$81,200 ",48.00%,>,"$55,300 ",50.00%,>,"$108,300 ",
1984,,,,,,,50.00%,>,"$81,800 ",,,,
,,,,,,,,,,,,,
1983,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,Last law to change rates was the Tax Equity and Fiscal Responsibility Act of 1982
1983,11.00%,>,"$3,400 ",11.00%,>,"$1,700 ",11.00%,>,"$2,300 ",11.00%,>,"$2,300 ",
1983,13.00%,>,"$5,500 ",13.00%,>,"$2,750 ",13.00%,>,"$3,400 ",13.00%,>,"$4,400 ",
1983,15.00%,>,"$7,600 ",15.00%,>,"$3,800 ",15.00%,>,"$4,400 ",15.00%,>,"$6,500 ",
1983,17.00%,>,"$11,900 ",17.00%,>,"$5,950 ",17.00%,>,"$8,500 ",18.00%,>,"$8,700 ",
1983,19.00%,>,"$16,000 ",19.00%,>,"$8,000 ",19.00%,>,"$10,800 ",19.00%,>,"$11,800 ",
1983,23.00%,>,"$20,200 ",23.00%,>,"$10,100 ",21.00%,>,"$12,900 ",21.00%,>,"$15,000 ",
1983,26.00%,>,"$24,600 ",26.00%,>,"$12,300 ",24.00%,>,"$15,000 ",25.00%,>,"$18,200 ",
1983,30.00%,>,"$29,900 ",30.00%,>,"$14,950 ",28.00%,>,"$18,200 ",29.00%,>,"$23,500 ",
1983,35.00%,>,"$35,200 ",35.00%,>,"$17,600 ",32.00%,>,"$23,500 ",34.00%,>,"$28,800 ",
1983,40.00%,>,"$45,800 ",40.00%,>,"$22,900 ",36.00%,>,"$28,800 ",37.00%,>,"$34,100 ",
1983,44.00%,>,"$60,000 ",44.00%,>,"$30,000 ",40.00%,>,"$34,100 ",44.00%,>,"$44,700 ",
1983,48.00%,>,"$85,600 ",48.00%,>,"$42,800 ",45.00%,>,"$41,500 ",48.00%,>,"$60,600 ",
1983,50.00%,>,"$109,400 ",50.00%,>,"$54,700 ",50.00%,>,"$55,300 ",50.00%,>,"$81,800 ",
,,,,,,,,,,,,,
1982,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,Last law to change rates was the Tax Equity and Fiscal Responsibility Act of 1982.
1982,12.00%,>,"$3,400 ",12.00%,>,"$1,700 ",12.00%,>,"$2,300 ",12.00%,>,"$2,300 ",
1982,14.00%,>,"$5,500 ",14.00%,>,"$2,750 ",14.00%,>,"$3,400 ",14.00%,>,"$4,400 ",
1982,16.00%,>,"$7,600 ",16.00%,>,"$3,800 ",16.00%,>,"$4,400 ",16.00%,>,"$6,500 ",
1982,19.00%,>,"$11,900 ",19.00%,>,"$5,950 ",17.00%,>,"$6,500 ",20.00%,>,"$8,700 ",
1982,22.00%,>,"$16,000 ",22.00%,>,"$8,000 ",19.00%,>,"$8,500 ",22.00%,>,"$11,800 ",
1982,25.00%,>,"$20,200 ",25.00%,>,"$10,100 ",22.00%,>,"$10,800 ",23.00%,>,"$15,000 ",
1982,29.00%,>,"$24,600 ",29.00%,>,"$12,300 ",23.00%,>,"$12,900 ",28.00%,>,"$18,200 ",
1982,33.00%,>,"$29,900 ",33.00%,>,"$14,950 ",27.00%,>,"$15,000 ",32.00%,>,"$23,500 ",
1982,39.00%,>,"$35,200 ",39.00%,>,"$17,600 ",31.00%,>,"$18,200 ",38.00%,>,"$28,800 ",
1982,44.00%,>,"$45,800 ",44.00%,>,"$22,900 ",35.00%,>,"$23,500 ",41.00%,>,"$34,100 ",
1982,49.00%,>,"$60,000 ",49.00%,>,"$30,000 ",40.00%,>,"$28,800 ",49.00%,>,"$44,700 ",
1982,50.00%,>,"$85,600 ",50.00%,>,"$42,800 ",44.00%,>,"$34,100 ",50.00%,>,"$60,600 ",
1982,,,,,,,50.00%,>,"$41,500 ",,,,
,,,,,,,,,,,,,
1981,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,Last law to change rates was the Economic Recovery Tax Act of 1981.
1981,14.00%,>,"$3,400 ",14.00%,>,"$1,700 ",14.00%,>,"$2,300 ",14.00%,>,"$2,300 ",
1981,16.00%,>,"$5,500 ",16.00%,>,"$2,750 ",16.00%,>,"$3,400 ",16.00%,>,"$4,400 ",
1981,18.00%,>,"$7,600 ",18.00%,>,"$3,800 ",18.00%,>,"$4,400 ",18.00%,>,"$6,500 ",
1981,21.00%,>,"$11,900 ",21.00%,>,"$5,950 ",19.00%,>,"$6,500 ",22.00%,>,"$8,700 ",
1981,24.00%,>,"$16,000 ",24.00%,>,"$8,000 ",21.00%,>,"$8,500 ",24.00%,>,"$11,800 ",
1981,28.00%,>,"$20,200 ",28.00%,>,"$10,100 ",24.00%,>,"$10,800 ",26.00%,>,"$15,000 ",
1981,32.00%,>,"$24,600 ",32.00%,>,"$12,300 ",26.00%,>,"$12,900 ",31.00%,>,"$18,200 ",
1981,37.00%,>,"$29,900 ",37.00%,>,"$14,950 ",30.00%,>,"$15,000 ",36.00%,>,"$23,500 ",
1981,43.00%,>,"$35,200 ",43.00%,>,"$17,600 ",34.00%,>,"$18,200 ",42.00%,>,"$28,800 ",
1981,49.00%,>,"$45,800 ",49.00%,>,"$22,900 ",39.00%,>,"$23,500 ",46.00%,>,"$34,100 ",
1981,54.00%,>,"$60,000 ",54.00%,>,"$30,000 ",44.00%,>,"$28,800 ",54.00%,>,"$44,700 ",
1981,59.00%,>,"$85,600 ",59.00%,>,"$42,800 ",49.00%,>,"$34,100 ",59.00%,>,"$60,600 ",
1981,64.00%,>,"$109,400 ",64.00%,>,"$54,700 ",55.00%,>,"$41,500 ",63.00%,>,"$81,800 ",
1981,68.00%,>,"$162,400 ",68.00%,>,"$81,200 ",63.00%,>,"$55,300 ",68.00%,>,"$108,300 ",
1981,70.00%,>,"$215,400 ",70.00%,>,"$107,700 ",68.00%,>,"$81,800 ",70.00%,>,"$161,300 ",
1981,,,,,,,70.00%,>,"$108,300 ",,,,
,,,,,,,,,,,,,
1980,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,Last law to change rates was the Revenue Act of 1978.
1980,14.00%,>,"$3,400 ",14.00%,>,"$1,700 ",14.00%,>,"$2,300 ",14.00%,>,"$2,300 ",
1980,16.00%,>,"$5,500 ",16.00%,>,"$2,750 ",16.00%,>,"$3,400 ",16.00%,>,"$4,400 ",
1980,18.00%,>,"$7,600 ",18.00%,>,"$3,800 ",18.00%,>,"$4,400 ",18.00%,>,"$6,500 ",
1980,21.00%,>,"$11,900 ",21.00%,>,"$5,950 ",19.00%,>,"$6,500 ",22.00%,>,"$8,700 ",
1980,24.00%,>,"$16,000 ",24.00%,>,"$8,000 ",21.00%,>,"$8,500 ",24.00%,>,"$11,800 ",
1980,28.00%,>,"$20,200 ",28.00%,>,"$10,100 ",24.00%,>,"$10,800 ",26.00%,>,"$15,000 ",
1980,32.00%,>,"$24,600 ",32.00%,>,"$12,300 ",26.00%,>,"$12,900 ",31.00%,>,"$18,200 ",
1980,37.00%,>,"$29,900 ",37.00%,>,"$14,950 ",30.00%,>,"$15,000 ",36.00%,>,"$23,500 ",
1980,43.00%,>,"$35,200 ",43.00%,>,"$17,600 ",34.00%,>,"$18,200 ",42.00%,>,"$28,800 ",
1980,49.00%,>,"$45,800 ",49.00%,>,"$22,900 ",39.00%,>,"$23,500 ",46.00%,>,"$34,100 ",
1980,54.00%,>,"$60,000 ",54.00%,>,"$30,000 ",44.00%,>,"$28,800 ",54.00%,>,"$44,700 ",
1980,59.00%,>,"$85,600 ",59.00%,>,"$42,800 ",49.00%,>,"$34,100 ",59.00%,>,"$60,600 ",
1980,64.00%,>,"$109,400 ",64.00%,>,"$54,700 ",55.00%,>,"$41,500 ",63.00%,>,"$81,800 ",
1980,68.00%,>,"$162,400 ",68.00%,>,"$81,200 ",63.00%,>,"$55,300 ",68.00%,>,"$108,300 ",
1980,70.00%,>,"$215,400 ",70.00%,>,"$107,700 ",68.00%,>,"$81,800 ",70.00%,>,"$161,300 ",
1980,,,,,,,70.00%,>,"$108,300 ",,,,
,,,,,,,,,,,,,
1979,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,Last law to change rates was the Revenue Act of 1978.
1979,14.00%,>,"$3,400 ",14.00%,>,"$1,700 ",14.00%,>,"$2,300 ",14.00%,>,"$2,300 ",
1979,16.00%,>,"$5,500 ",16.00%,>,"$2,750 ",16.00%,>,"$3,400 ",16.00%,>,"$4,400 ",
1979,18.00%,>,"$7,600 ",18.00%,>,"$3,800 ",18.00%,>,"$4,400 ",18.00%,>,"$6,500 ",
1979,21.00%,>,"$11,900 ",21.00%,>,"$5,950 ",19.00%,>,"$6,500 ",22.00%,>,"$8,700 ",
1979,24.00%,>,"$16,000 ",24.00%,>,"$8,000 ",21.00%,>,"$8,500 ",24.00%,>,"$11,800 ",
1979,28.00%,>,"$20,200 ",28.00%,>,"$10,100 ",24.00%,>,"$10,800 ",26.00%,>,"$15,000 ",
1979,32.00%,>,"$24,600 ",32.00%,>,"$12,300 ",26.00%,>,"$12,900 ",31.00%,>,"$18,200 ",
1979,37.00%,>,"$29,900 ",37.00%,>,"$14,950 ",30.00%,>,"$15,000 ",36.00%,>,"$23,500 ",
1979,43.00%,>,"$35,200 ",43.00%,>,"$17,600 ",34.00%,>,"$18,200 ",42.00%,>,"$28,800 ",
1979,49.00%,>,"$45,800 ",49.00%,>,"$22,900 ",39.00%,>,"$23,500 ",46.00%,>,"$34,100 ",
1979,54.00%,>,"$60,000 ",54.00%,>,"$30,000 ",44.00%,>,"$28,800 ",54.00%,>,"$44,700 ",
1979,59.00%,>,"$85,600 ",59.00%,>,"$42,800 ",49.00%,>,"$34,100 ",59.00%,>,"$60,600 ",
1979,64.00%,>,"$109,400 ",64.00%,>,"$54,700 ",55.00%,>,"$41,500 ",63.00%,>,"$81,800 ",
1979,68.00%,>,"$162,400 ",68.00%,>,"$81,200 ",63.00%,>,"$55,300 ",68.00%,>,"$108,300 ",
1979,70.00%,>,"$215,400 ",70.00%,>,"$107,700 ",68.00%,>,"$81,800 ",70.00%,>,"$161,300 ",
1979,,,,,,,70.00%,>,"$108,300 ",,,,
,,,,,,,,,,,,,
1978,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,Last law to change rates was the Revenue Act of 1978.
1978,14.00%,>,"$3,200 ",14.00%,>,"$1,600 ",14.00%,>,"$2,200 ",14.00%,>,"$2,200 ",
1978,15.00%,>,"$4,200 ",15.00%,>,"$2,100 ",15.00%,>,"$2,700 ",16.00%,>,"$3,200 ",
1978,16.00%,>,"$5,200 ",16.00%,>,"$2,600 ",16.00%,>,"$3,200 ",18.00%,>,"$4,200 ",
1978,17.00%,>,"$6,200 ",17.00%,>,"$3,100 ",17.00%,>,"$3,700 ",19.00%,>,"$6,200 ",
1978,19.00%,>,"$7,200 ",19.00%,>,"$3,600 ",19.00%,>,"$4,200 ",22.00%,>,"$8,200 ",
1978,22.00%,>,"$11,200 ",22.00%,>,"$5,600 ",21.00%,>,"$6,200 ",23.00%,>,"$10,200 ",
1978,25.00%,>,"$15,200 ",25.00%,>,"$7,600 ",24.00%,>,"$8,200 ",25.00%,>,"$12,200 ",
1978,28.00%,>,"$19,200 ",28.00%,>,"$9,500 ",25.00%,>,"$10,200 ",27.00%,>,"$14,200 ",
1978,32.00%,>,"$23,200 ",32.00%,>,"$11,600 ",27.00%,>,"$12,200 ",28.00%,>,"$16,200 ",
1978,36.00%,>,"$27,200 ",36.00%,>,"$13,600 ",29.00%,>,"$14,200 ",31.00%,>,"$18,200 ",
1978,49.00%,>,"$31,200 ",39.00%,>,"$15,600 ",31.00%,>,"$16,200 ",32.00%,>,"$20,200 ",
1978,42.00%,>,"$35,200 ",42.00%,>,"$17,600 ",34.00%,>,"$18,200 ",35.00%,>,"$22,200 ",
1978,45.00%,>,"$39,200 ",45.00%,>,"$19,600 ",36.00%,>,"$20,200 ",36.00%,>,"$24,200 ",
1978,48.00%,>,"$43,200 ",48.00%,>,"$21,600 ",38.00%,>,"$22,200 ",38.00%,>,"$26,200 ",
1978,50.00%,>,"$47,200 ",50.00%,>,"$23,600 ",40.00%,>,"$24,200 ",41.00%,>,"$28,200 ",
1978,53.00%,>,"$55,200 ",53.00%,>,"$27,300 ",45.00%,>,"$28,200 ",42.00%,>,"$30,200 ",
1978,55.00%,>,"$67,200 ",55.00%,>,"$33,600 ",50.00%,>,"$34,200 ",45.00%,>,"$34,200 ",
1978,58.00%,>,"$79,200 ",58.00%,>,"$39,600 ",55.00%,>,"$40,200 ",48.00%,>,"$38,200 ",
1978,60.00%,>,"$91,200 ",60.00%,>,"$45,600 ",60.00%,>,"$46,200 ",51.00%,>,"$40,200 ",
1978,62.00%,>,"$103,200 ",62.00%,>,"$51,600 ",62.00%,>,"$52,200 ",52.00%,>,"$42,200 ",
1978,64.00%,>,"$123,200 ",64.00%,>,"$61,600 ",64.00%,>,"$62,200 ",55.00%,>,"$46,200 ",
1978,66.00%,>,"$143,200 ",66.00%,>,"$71,600 ",66.00%,>,"$72,200 ",56.00%,>,"$52,200 ",
1978,68.00%,>,"$163,200 ",68.00%,>,"$81,600 ",68.00%,>,"$82,200 ",58.00%,>,"$54,200 ",
1978,69.00%,>,"$183,200 ",69.00%,>,"$91,600 ",69.00%,>,"$92,200 ",59.00%,>,"$66,200 ",
1978,70.00%,>,"$203,200 ",70.00%,>,"$101,600 ",70.00%,>,"$102,200 ",61.00%,>,"$72,200 ",
1978,,,,,,,,,,62.00%,>,"$78,200 ",
1978,,,,,,,,,,63.00%,>,"$82,200 ",
1978,,,,,,,,,,64.00%,>,"$90,200 ",
1978,,,,,,,,,,66.00%,>,"$102,200 ",
1978,,,,,,,,,,67.00%,>,"$122,200 ",
1978,,,,,,,,,,68.00%,>,"$142,200 ",
1978,,,,,,,,,,69.00%,>,"$162,200 ",
1978,,,,,,,,,,70.00%,>,"$182,200 ",
,,,,,,,,,,,,,
1977,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,Last law to change rates was the Tax Reduction and Simplification Act of 1977
1977,14.00%,>,"$3,200 ",14.00%,>,"$1,600 ",14.00%,>,"$2,200 ",14.00%,>,"$2,200 ",
1977,15.00%,>,"$4,200 ",15.00%,>,"$2,100 ",15.00%,>,"$2,700 ",16.00%,>,"$3,200 ",
1977,16.00%,>,"$5,200 ",16.00%,>,"$2,600 ",16.00%,>,"$3,200 ",18.00%,>,"$4,200 ",
1977,17.00%,>,"$6,200 ",17.00%,>,"$3,100 ",17.00%,>,"$3,700 ",19.00%,>,"$6,200 ",
1977,19.00%,>,"$7,200 ",19.00%,>,"$3,600 ",19.00%,>,"$4,200 ",22.00%,>,"$8,200 ",
1977,22.00%,>,"$11,200 ",22.00%,>,"$5,600 ",21.00%,>,"$6,200 ",23.00%,>,"$10,200 ",
1977,25.00%,>,"$15,200 ",25.00%,>,"$7,600 ",24.00%,>,"$8,200 ",25.00%,>,"$12,200 ",
1977,28.00%,>,"$19,200 ",28.00%,>,"$9,500 ",25.00%,>,"$10,200 ",27.00%,>,"$14,200 ",
1977,32.00%,>,"$23,200 ",32.00%,>,"$11,600 ",27.00%,>,"$12,200 ",28.00%,>,"$16,200 ",
1977,36.00%,>,"$27,200 ",36.00%,>,"$13,600 ",29.00%,>,"$14,200 ",31.00%,>,"$18,200 ",
1977,39.00%,>,"$31,200 ",39.00%,>,"$15,600 ",31.00%,>,"$16,200 ",32.00%,>,"$20,200 ",
1977,42.00%,>,"$35,200 ",42.00%,>,"$17,600 ",34.00%,>,"$18,200 ",35.00%,>,"$22,200 ",
1977,45.00%,>,"$39,200 ",45.00%,>,"$19,600 ",36.00%,>,"$20,200 ",36.00%,>,"$24,200 ",
1977,48.00%,>,"$43,200 ",48.00%,>,"$21,600 ",38.00%,>,"$22,200 ",38.00%,>,"$26,200 ",
1977,50.00%,>,"$47,200 ",50.00%,>,"$23,600 ",40.00%,>,"$24,200 ",41.00%,>,"$28,200 ",
1977,53.00%,>,"$55,200 ",53.00%,>,"$27,300 ",45.00%,>,"$28,200 ",42.00%,>,"$30,200 ",
1977,55.00%,>,"$67,200 ",55.00%,>,"$33,600 ",50.00%,>,"$34,200 ",45.00%,>,"$34,200 ",
1977,58.00%,>,"$79,200 ",58.00%,>,"$39,600 ",55.00%,>,"$40,200 ",48.00%,>,"$38,200 ",
1977,60.00%,>,"$91,200 ",60.00%,>,"$45,600 ",60.00%,>,"$46,200 ",51.00%,>,"$40,200 ",
1977,62.00%,>,"$103,200 ",62.00%,>,"$51,600 ",62.00%,>,"$52,200 ",52.00%,>,"$42,200 ",
1977,64.00%,>,"$123,200 ",64.00%,>,"$61,600 ",64.00%,>,"$62,200 ",55.00%,>,"$46,200 ",
1977,66.00%,>,"$143,200 ",66.00%,>,"$71,600 ",66.00%,>,"$72,200 ",56.00%,>,"$52,200 ",
1977,68.00%,>,"$163,200 ",68.00%,>,"$81,600 ",68.00%,>,"$82,200 ",58.00%,>,"$54,200 ",
1977,69.00%,>,"$183,200 ",69.00%,>,"$91,600 ",69.00%,>,"$92,200 ",59.00%,>,"$66,200 ",
1977,70.00%,>,"$203,200 ",70.00%,>,"$101,600 ",70.00%,>,"$102,200 ",61.00%,>,"$72,200 ",
1977,,,,,,,,,,62.00%,>,"$78,200 ",
1977,,,,,,,,,,63.00%,>,"$82,200 ",
1977,,,,,,,,,,64.00%,>,"$90,200 ",
1977,,,,,,,,,,66.00%,>,"$102,200 ",
1977,,,,,,,,,,67.00%,>,"$122,200 ",
1977,,,,,,,,,,68.00%,>,"$142,200 ",
1977,,,,,,,,,,69.00%,>,"$162,200 ",
1977,,,,,,,,,,70.00%,>,"$182,200 ",
,,,,,,,,,,,,,
1976,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,Last law to change rates was the Tax Reform Act of 1976.
1976,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 ",
1976,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 ",
1976,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",19.00%,>,"$4,000 ",
1976,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 ",
1976,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",23.00%,>,"$8,000 ",
1976,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",25.00%,>,"$10,000 ",
1976,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",27.00%,>,"$12,000 ",
1976,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",28.00%,>,"$14,000 ",
1976,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",31.00%,>,"$16,000 ",
1976,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",32.00%,>,"$18,000 ",
1976,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",35.00%,>,"$20,000 ",
1976,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",36.00%,>,"$22,000 ",
1976,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",38.00%,>,"$24,000 ",
1976,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",41.00%,>,"$26,000 ",
1976,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",42.00%,>,"$28,000 ",
1976,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",45.00%,>,"$32,000 ",
1976,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",48.00%,>,"$36,000 ",
1976,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",51.00%,>,"$38,000 ",
1976,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",52.00%,>,"$40,000 ",
1976,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 ",
1976,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 ",
1976,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 ",
1976,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 ",
1976,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 ",
1976,,,,,,,,,,62.00%,>,"$76,000 ",
1976,,,,,,,,,,63.00%,>,"$80,000 ",
1976,,,,,,,,,,64.00%,>,"$88,000 ",
1976,,,,,,,,,,66.00%,>,"$100,000 ",
1976,,,,,,,,,,67.00%,>,"$120,000 ",
1976,,,,,,,,,,68.00%,>,"$140,000 ",
1976,,,,,,,,,,69.00%,>,"$160,000 ",
1976,,,,,,,,,,70.00%,>,"$180,000 ",
,,,,,,,,,,,,,
